Plot_Number,Tag_Num,Tree.ID,X,Y,Elevation,Total.Height,Height.To.Crown.Base,Max.Crown.Diameter,Min.Crown.Diameter,Crown.Rotation,R,G,B,DBH,Lean.Angle.From.Vertical,Lean.Azimuth,Status.Code,BaseX,BaseY,BaseElevation,Height,topElevation,CrownDia,TopX,TopY,Species,DataFile,FileTitle,Total.return.count,Return.1.count,Return.2.count,Return.3.count,Return.4.count,Return.5.count,Return.6.count,Return.7.count,Return.8.count,Return.9.count,Other.return.count,Elev.minimum,Elev.maximum,Elev.mean,Elev.mode,Elev.stddev,Elev.variance,Elev.CV,Elev.IQ,Elev.skewness,Elev.kurtosis,Elev.AAD,Elev.MAD.median,Elev.MAD.mode,Elev.L1,Elev.L2,Elev.L3,Elev.L4,Elev.L.CV,Elev.L.skewness,Elev.L.kurtosis,Elev.P01,Elev.P05,Elev.P10,Elev.P20,Elev.P25,Elev.P30,Elev.P40,Elev.P50,Elev.P60,Elev.P70,Elev.P75,Elev.P80,Elev.P90,Elev.P95,Elev.P99,Canopy.relief.ratio,Elev.SQRT.mean.SQ,Elev.CURT.mean.CUBE,Int.minimum,Int.maximum,Int.mean,Int.mode,Int.stddev,Int.variance,Int.CV,Int.IQ,Int.skewness,Int.kurtosis,Int.AAD,Int.L1,Int.L2,Int.L3,Int.L4,Int.L.CV,Int.L.skewness,Int.L.kurtosis,Int.P01,Int.P05,Int.P10,Int.P20,Int.P25,Int.P30,Int.P40,Int.P50,Int.P60,Int.P70,Int.P75,Int.P80,Int.P90,Int.P95,Int.P99,Profile.area
12,1,12_1_PSME,401920.4275,5277805.352,208.242031,37.494035,22.496421,4.544564,4.544564,0,244,120,50,0.425,1.259616,153.24842,0,401920.4275,5277805.352,208.242031,37.494035,245.736066,6.816846,401920.7985,5277804.616,PSME,F:\workspace\OESF\AllyCedarFUSIONWork\Cedar_Plots\OESF_Cedar_Plots_11_12_13_pt5\Processing\AdjustedTrees\ConeClip_final\Trees_SmallCylinder_normalized\Plot_12_TreeCone_1.las,Plot_12_TreeCone_1,4554,4079,469,6,0,0,0,0,0,0,0,0,24.997999,20.139737,21.426856,2.600936,6.764867,0.129144,3.389751,-1.022448,5.30001,2.031341,1.738001,1.7295,20.139737,1.419469,-0.190497,0.183877,0.070481,-0.134203,0.129539,12.06013,15.72765,16.992199,18.271999,18.637499,18.931999,19.682199,20.450001,21.1348,21.701,22.02725,22.4058,23.138401,23.65435,24.381001,0.805654,20.306954,20.455786,140,255,192.319719,183.809524,17.950725,322.228528,0.093338,26,0.70075,3.096504,14.03243,192.319719,9.842439,1.566636,1.386393,0.051177,0.159171,0.140859,159,166,172,178,178,185,185,191,191,198,204,210,223,230,236,81.413975
12,10,12_10_PSME,401925.8797,5277808.584,211.161115,27.839604,16.703763,3.588207,3.588207,0,244,120,50,0.297,1.349643,188.394352,0,401925.8797,5277808.584,211.161115,27.839604,239.000719,5.3823105,401925.784,5277807.935,PSME,F:\workspace\OESF\AllyCedarFUSIONWork\Cedar_Plots\OESF_Cedar_Plots_11_12_13_pt5\Processing\AdjustedTrees\ConeClip_final\Trees_SmallCylinder_normalized\Plot_12_TreeCone_10.las,Plot_12_TreeCone_10,831,612,211,8,0,0,0,0,0,0,0,0,25.622999,23.390361,23.589428,1.602945,2.569432,0.06853,1.707499,-5.396624,69.728159,1.04842,0.827,0.847572,23.390361,0.74078,-0.140613,0.127948,0.03167,-0.189817,0.172721,19.865999,20.774,21.986,22.427,22.620501,22.83,23.334999,23.677999,23.916,24.184999,24.327999,24.469999,25.047001,25.201,25.469299,0.912866,23.445156,23.486153,147,249,187.438026,184.238095,15.038207,226.147661,0.08023,13,0.685007,3.09033,11.813499,187.438026,8.256434,1.269568,1.058996,0.044049,0.153767,0.128263,159,166,172,172,178,178,185,185,191,191,191,198,210,217,223,90.615915
12,11,12_11_PSME,401925.6132,5277805.43,211.914631,29.476406,17.685845,3.042954,3.042954,0,244,120,50,0.235,0.6723,70.156222,0,401925.6132,5277805.43,211.914631,29.476406,241.391037,4.564431,401925.9385,5277805.547,PSME,F:\workspace\OESF\AllyCedarFUSIONWork\Cedar_Plots\OESF_Cedar_Plots_11_12_13_pt5\Processing\AdjustedTrees\ConeClip_final\Trees_SmallCylinder_normalized\Plot_12_TreeCone_11.las,Plot_12_TreeCone_11,764,620,140,4,0,0,0,0,0,0,0,0,26.862,24.908144,25.156476,1.729646,2.991676,0.069441,1.105249,-6.299274,72.978267,0.968123,0.5355,0.5605,24.908144,0.691101,-0.251169,0.207115,0.027746,-0.363433,0.299688,19.02227,22.323299,23.283701,24.4734,24.65275,24.8069,25.094801,25.2735,25.4468,25.6623,25.757999,25.855801,26.126701,26.2917,26.750181,0.927263,24.968048,25.010178,147,230,185.603403,183.888889,15.790023,249.324811,0.085074,19,0.753694,3.16692,12.001881,185.603403,8.60398,1.444328,1.316434,0.046357,0.167867,0.153003,159,166,166,172,172,178,178,185,185,191,191,198,210,217,223,91.950879
12,15,12_15_PSME,401928.6275,5277807.694,213.120599,37.458048,22.474828,4.517426,4.517426,0,244,120,50,0.421,3.123629,112.953478,0,401928.6275,5277807.694,213.120599,37.458048,250.578647,6.776139,401930.507,5277806.898,PSME,F:\workspace\OESF\AllyCedarFUSIONWork\Cedar_Plots\OESF_Cedar_Plots_11_12_13_pt5\Processing\AdjustedTrees\ConeClip_final\Trees_SmallCylinder_normalized\Plot_12_TreeCone_15.las,Plot_12_TreeCone_15,4365,3747,600,18,0,0,0,0,0,0,0,0,33.363998,29.204502,29.656887,2.500902,6.254512,0.085634,2.941999,-1.421856,8.171121,1.907793,1.396,1.438112,29.204502,1.331748,-0.295496,0.209865,0.045601,-0.221886,0.157586,21.91704,24.193401,25.611,27.548,28.002001,28.436201,29.32,29.789,30.214401,30.6966,30.944,31.194201,31.771599,32.214802,33.051556,0.87533,29.311363,29.408487,147,255,190.056586,184.714286,16.293376,265.474112,0.085729,20,0.766601,3.479592,12.583067,190.056586,8.877739,1.429384,1.388696,0.046711,0.161008,0.156424,159,166,172,178,178,178,185,185,191,198,198,204,210,223,236,87.069814
12,17,12_17_TSHE,401931.225,5277811.319,213.874974,26.169407,15.701644,3.202614,3.202614,0,244,120,50,0.257,0.771647,149.287172,0,401931.225,5277811.319,213.874974,26.169407,240.044381,4.803921,401931.405,5277811.015,TSHE,F:\workspace\OESF\AllyCedarFUSIONWork\Cedar_Plots\OESF_Cedar_Plots_11_12_13_pt5\Processing\AdjustedTrees\ConeClip_final\Trees_SmallCylinder_normalized\Plot_12_TreeCone_17.las,Plot_12_TreeCone_17,767,571,184,12,0,0,0,0,0,0,0,0,11.167,8.346227,9.571714,1.657664,2.74785,0.198612,2.099,-1.096697,5.078384,1.272539,1.044,1.159286,8.346227,0.896251,-0.132875,0.124173,0.107384,-0.148256,0.138547,2.41594,5.1527,6.2378,7.382,7.516,7.6476,8.0764,8.472,8.8382,9.487801,9.615,9.73,10.346801,10.5537,10.827021,0.747401,8.50904,8.640647,147,242,185.894394,184.698413,14.811454,219.379172,0.079677,20,0.419446,3.517482,11.494697,185.894394,8.190866,0.477477,1.171248,0.044062,0.058294,0.142994,159,166,166,172,178,178,185,185,191,191,198,198,204,210,223,76.024808
12,2,12_2_THPL,401915.995,5277797.485,205.617365,31.607003,18.964202,4.398689,4.398689,0,244,120,50,0.532,0.837249,7.401991,0,401915.995,5277797.485,205.617365,31.607003,237.224368,6.5980335,401916.0545,5277797.943,THPL,F:\workspace\OESF\AllyCedarFUSIONWork\Cedar_Plots\OESF_Cedar_Plots_11_12_13_pt5\Processing\AdjustedTrees\ConeClip_final\Trees_SmallCylinder_normalized\Plot_12_TreeCone_2.las,Plot_12_TreeCone_2,3467,3012,445,10,0,0,0,0,0,0,0,0,31.882999,27.836162,28.846523,3.146903,9.903001,0.113051,2.966501,-4.327107,34.199276,1.948745,1.386,1.265524,27.836162,1.385584,-0.367476,0.312127,0.049776,-0.265214,0.225267,16.027901,23.8512,25.112,26.2236,26.646999,27.114799,27.9188,28.417,28.969,29.3472,29.613501,29.8738,30.481401,30.987801,31.539042,0.873072,28.013426,28.130688,140,249,186.823479,176.333333,15.764679,248.525092,0.084383,13,0.88082,3.271819,12.234549,186.823479,8.486028,1.781119,1.290251,0.045423,0.209888,0.152044,159,166,172,172,178,178,178,185,185,191,191,198,210,223,223,87.28206
12,20,12_20_PSME,401930.1885,5277802.756,215.442704,32.837692,19.702616,3.798897,3.798897,0,244,120,50,0.323,3.013076,45.328608,0,401930.1885,5277802.756,215.442704,32.837692,248.280396,5.6983455,401931.416,5277803.969,PSME,F:\workspace\OESF\AllyCedarFUSIONWork\Cedar_Plots\OESF_Cedar_Plots_11_12_13_pt5\Processing\AdjustedTrees\ConeClip_final\Trees_SmallCylinder_normalized\Plot_12_TreeCone_20.las,Plot_12_TreeCone_20,3078,2745,331,2,0,0,0,0,0,0,0,0,30.236,26.398751,26.876444,2.87281,8.253038,0.108824,2.5445,-4.6878,39.787155,1.782845,1.142501,1.193555,26.398751,1.248903,-0.374286,0.287727,0.047309,-0.299692,0.230383,20.27524,21.864849,23.485399,25.0098,25.4475,26.018099,26.707001,27.021999,27.367401,27.7908,27.992001,28.184,28.6803,29.111151,29.682919,0.87309,26.554555,26.655618,147,255,188.650422,177.857143,17.292696,299.037327,0.091665,26,0.664953,2.730773,14.281767,188.650422,9.578984,1.616112,0.852894,0.050776,0.168714,0.089038,159,166,172,172,178,178,178,185,185,198,204,204,217,223,230,88.009008
12,23,12_23_THPL,401933.4399,5277815.918,214.633685,21.03066,12.618396,3.864606,3.864606,0,244,120,50,0.436,0.855112,6.04699,0,401933.4399,5277815.918,214.633685,21.03066,235.664345,5.796909,401933.473,5277816.231,THPL,F:\workspace\OESF\AllyCedarFUSIONWork\Cedar_Plots\OESF_Cedar_Plots_11_12_13_pt5\Processing\AdjustedTrees\ConeClip_final\Trees_SmallCylinder_normalized\Plot_12_TreeCone_23.las,Plot_12_TreeCone_23,444,347,89,8,0,0,0,0,0,0,0,0,21.503,19.301142,19.113778,3.672338,13.486068,0.190265,1.43825,-4.563621,23.114526,1.4983,0.693,0.921722,19.301142,1.104816,-0.581165,0.539933,0.057241,-0.526028,0.488709,0.58808,18.60585,18.999701,19.173201,19.26125,19.3904,19.686001,19.92,20.160799,20.524099,20.699499,20.814199,21.103001,21.27775,21.416571,0.897602,19.646622,19.784308,159,255,205.671171,223,17.499435,306.230228,0.085085,32,0.099251,2.259306,14.715709,205.671171,9.88693,0.242955,0.49332,0.048072,0.024573,0.049896,172,178,185,191,191,198,198,204,204,223,223,223,230,230,242,89.189177
12,25,12_25_TSHE,401936.483,5277808.702,216.981237,35.421257,21.252754,4.197004,4.197004,0,244,120,50,0.364,0.680782,219.552823,0,401936.483,5277808.702,216.981237,35.421257,252.402494,6.295506,401936.215,5277808.377,TSHE,F:\workspace\OESF\AllyCedarFUSIONWork\Cedar_Plots\OESF_Cedar_Plots_11_12_13_pt5\Processing\AdjustedTrees\ConeClip_final\Trees_SmallCylinder_normalized\Plot_12_TreeCone_25.las,Plot_12_TreeCone_25,4711,3971,712,28,0,0,0,0,0,0,0,0,23.113001,17.898693,20.178017,2.681562,7.190774,0.149819,3.542,-0.789196,3.960291,2.107498,1.775,2.146984,17.898693,1.485791,-0.197008,0.175346,0.083011,-0.132595,0.118015,10.4071,12.91,14.271,15.685,16.3955,16.914,17.577999,18.084,18.971001,19.598,19.9375,20.353001,20.910999,21.6415,22.5947,0.774399,18.098411,18.27649,147,255,196.723626,196.714286,16.445355,270.449716,0.083596,19,0.51914,3.67074,12.392771,196.723626,8.96591,0.846745,1.653575,0.045576,0.09444,0.184429,159,172,178,185,185,191,191,198,198,204,204,204,217,230,242,78.057963
12,26,12_26_TSHE,401938.426,5277806.955,218.332173,33.003662,19.802197,3.036025,3.036025,0,244,120,50,0.241,1.935727,349.220653,0,401938.426,5277806.955,218.332173,33.003662,251.335835,4.5540375,401938.2175,5277808.05,TSHE,F:\workspace\OESF\AllyCedarFUSIONWork\Cedar_Plots\OESF_Cedar_Plots_11_12_13_pt5\Processing\AdjustedTrees\ConeClip_final\Trees_SmallCylinder_normalized\Plot_12_TreeCone_26.las,Plot_12_TreeCone_26,2446,1962,459,25,0,0,0,0,0,0,0,0,16.716,13.390844,14.328,1.849517,3.420712,0.138118,2.06425,-1.199782,6.907533,1.409655,0.9935,1.098,13.390844,0.997307,-0.153131,0.157739,0.074477,-0.153545,0.158165,8.3363,9.884501,10.679501,11.964,12.49525,12.804501,13.236,13.697001,14.099,14.4345,14.5595,14.8,15.448999,16.036501,16.5732,0.801079,13.517915,13.627863,147,255,193.540474,189.857143,16.263468,264.500406,0.084031,19,0.613624,3.140391,12.862995,193.540474,8.99175,1.146709,1.157279,0.046459,0.127529,0.128704,166,172,172,178,185,185,191,191,191,198,204,210,217,223,236,79.666026
