"Tree ID","X","Y","Elevation","Total Height","Height To Crown Base","Max Crown Diameter","Min Crown Diameter","Crown Rotation",R,G,B,DBH,"Lean Angle From Vertical","Lean Azimuth","Status Code"
12_27_THPL,401934.787823,5277804.380195,217.286681,26.859028,16.115417,2.126791,2.126791,0.000000,244,120,50,0.196000,1.459675,7.193683,0
12_14_THPL,401929.013500,5277809.253000,212.980647,13.180331,7.908199,2.108853,2.108853,0.000000,204,0,0,0.194000,0.000000,0.000000,1
12_42_THPL,401927.256700,5277793.615000,215.584108,6.581887,3.949132,1.053102,1.053102,0.000000,204,0,0,0.089000,0.000000,0.000000,1
12_43_THPL,401918.025500,5277798.692000,207.725203,10.093195,6.055917,1.614911,1.614911,0.000000,204,0,0,0.142000,0.000000,0.000000,1
12_39_THPL,401930.381900,5277791.542000,218.275124,19.412818,11.647691,3.106051,3.106051,0.000000,244,120,50,0.319000,0.010000,90.000000,2
12_28_THPL,401938.891561,5277802.321487,219.867289,29.119844,17.471907,2.664435,2.664435,0.000000,244,120,50,0.260000,0.841463,56.824156,0
12_38_THPL,401935.089500,5277788.123500,222.986582,28.776669,17.266001,2.961481,2.961481,0.000000,244,120,50,0.299000,1.453006,175.559139,0
12_29_THPL,401938.316268,5277800.909326,220.851125,13.292443,7.975466,2.126791,2.126791,0.000000,244,120,50,0.196000,0.010000,90.000000,2
12_2_THPL,401915.995000,5277797.485000,205.617365,31.607003,18.964202,4.398689,4.398689,0.000000,244,120,50,0.532000,0.837249,7.401991,0
12_23_THPL,401933.439937,5277815.918386,214.633685,21.030660,12.618396,3.864606,3.864606,0.000000,244,120,50,0.436000,0.855112,6.046990,0
12_44_ABAM,401924.341450,5277792.294387,213.937973,39.059406,23.435644,3.495889,3.495889,0.000000,244,120,50,0.316000,3.536349,191.794352,0
12_56_PSME,401927.653000,5277802.180000,214.310475,32.487530,19.492519,3.893006,3.893006,0.000000,244,120,50,0.335000,1.348888,329.730081,0
12_58_PSME,401925.495400,5277799.351000,214.049851,14.598378,8.759027,2.335740,2.335740,0.000000,244,120,50,0.165000,0.010000,90.000000,2
12_20_PSME,401930.188500,5277802.755500,215.442704,32.837692,19.702616,3.798897,3.798897,0.000000,244,120,50,0.323000,3.013076,45.328608,0
12_22_PSME,401929.638000,5277805.643000,214.263258,12.315219,7.389131,1.970435,1.970435,0.000000,244,120,50,0.133000,0.010000,90.000000,2
12_11_PSME,401925.613173,5277805.430094,211.914631,29.476406,17.685845,3.042954,3.042954,0.000000,244,120,50,0.235000,0.672300,70.156222,0
