Site,Year,Plot_Num,Tag_Num,Species,DBH_cm,LiDAR_Y_N,Dist_m,Azimuth,Anom_Num,X1_Anom,X2_Anom,X3_Anom,X4_Anom,Health_Num
T3,2023,12,27,THPL,19.6,Y,6.4,264,0,0,NA,NA,NA,1
T3,2023,12,14,THPL,19.4,N,7.1,188,0,0,NA,NA,NA,1
T3,2023,12,42,THPL,8.9,N,8.1,5,2,2,NA,NA,NA,1
T3,2023,12,43,THPL,14.2,N,10.2,72,0,0,NA,NA,NA,1
T3,2023,12,39,THPL,31.9,Y,10.3,347,5,5,NA,NA,NA,1
T3,2023,12,28,THPL,26,Y,11.1,274,5,5,NA,NA,NA,1
T3,2023,12,38,THPL,29.9,Y,11.6,329,0,0,NA,NA,NA,1
T3,2023,12,29,THPL,19.6,Y,11.9,274,5,5,NA,NA,NA,1
T3,2023,12,2,THPL,53.2,Y,12.5,71,0,0,NA,NA,NA,1
T3,2023,12,23,THPL,43.6,Y,15.8,198,0,0,NA,NA,NA,1
T3,2023,12,44,ABAM,31.6,Y,7.7,33,2,2,NA,NA,NA,
T3,2023,12,56,PSME,33.5,Y,1.8,144,0,0,NA,NA,NA,
T3,2023,12,58,PSME,16.5,Y,3.3,44,0,0,NA,NA,NA,
T3,2023,12,20,PSME,32.3,Y,3.6,224,5,5,NA,NA,NA,
T3,2023,12,22,PSME,13.3,Y,3.8,204,0,0,NA,NA,NA,
T3,2023,12,11,PSME,23.5,Y,4.4,158,0,0,NA,NA,NA,
T3,2023,12,48,PSME,23.6,Y,4.7,80,0,0,NA,NA,NA,
T3,2023,12,15,PSME,42.1,Y,5,202,0,0,NA,NA,NA,
T3,2023,12,59,PSME,36.1,Y,5.1,355,0,0,NA,NA,NA,
T3,2023,12,50,PSME,8.4,N,5.3,98,1,1,NA,NA,NA,
T3,2023,12,9,PSME,11.3,N,5.6,158,"1,5",1,5,NA,NA,
T3,2023,12,10,PSME,29.7,Y,5.6,161,5,5,NA,NA,NA,
T3,2023,12,19,PSME,18.9,N,5.9,218,1,1,NA,NA,NA,
T3,2023,12,51,PSME,14.9,N,6.2,101,0,0,NA,NA,NA,
T3,2023,12,3,PSME,29,Y,6.7,119,0,0,NA,NA,NA,
T3,2023,12,12,PSME,22.3,Y,7.3,170,0,0,NA,NA,NA,
T3,2023,12,24,PSME,31.1,Y,7.4,231,0,0,NA,NA,NA,
T3,2023,12,1,PSME,42.5,Y,7.9,115,0,0,NA,NA,NA,
T3,2023,12,6,PSME,11.4,N,8.1,129,0,0,NA,NA,NA,
T3,2023,12,52,RHPU,9.7,N,4.2,73,0,0,NA,NA,NA,
T3,2023,12,57,TSHE,16.7,N,0.4,133,0,0,NA,NA,NA,
T3,2023,12,60,TSHE,8,N,1.7,199,0,0,NA,NA,NA,
T3,2023,12,55,TSHE,34,Y,1.9,98,0,0,NA,NA,NA,
T3,2023,12,54,TSHE,7.4,N,3.4,76,0,0,NA,NA,NA,
T3,2023,12,53,TSHE,7.5,N,3.4,112,0,0,NA,NA,NA,
T3,2023,12,21,TSHE,11.4,N,3.4,216,5,5,NA,NA,NA,
T3,2023,12,30,TSHE,12.9,Y,3.4,295,3,3,NA,NA,NA,
T3,2023,12,31,TSHE,10.1,N,3.9,295,"3,5",3,5,NA,NA,
T3,2023,12,32,TSHE,6.8,N,4,298,5,5,NA,NA,NA,
T3,2023,12,45,TSHE,22.1,Y,4,29,0,0,NA,NA,NA,
T3,2023,12,47,TSHE,6.7,N,4.2,73,7,7,NA,NA,NA,
T3,2023,12,35,TSHE,17.5,N,4.6,310,1,1,NA,NA,NA,
T3,2023,12,49,TSHE,6.2,N,4.8,90,2,2,NA,NA,NA,
T3,2023,12,33,TSHE,19.7,Y,4.8,306,0,0,NA,NA,NA,
T3,2023,12,34,TSHE,8.1,N,5.2,308,0,0,NA,NA,NA,
T3,2023,12,5,TSHE,5.9,N,5.5,126,0,0,NA,NA,NA,
T3,2023,12,36,TSHE,44.6,Y,6.9,323,0,0,NA,NA,NA,
T3,2023,12,4,TSHE,8.9,N,7,126,0,0,NA,NA,NA,
T3,2023,12,7,TSHE,5.6,N,7.7,135,5,5,NA,NA,NA,
T3,2023,12,8,TSHE,16.6,N,7.9,137,5,5,NA,NA,NA,
T3,2023,12,13,TSHE,14.2,N,8.3,170,0,0,NA,NA,NA,
T3,2023,12,37,TSHE,8.7,N,8.4,323,0,0,NA,NA,NA,
T3,2023,12,16,TSHE,8,N,9.2,197,5,5,NA,NA,NA,
T3,2023,12,18,TSHE,10.1,N,9.5,199,"1,5",1,5,NA,NA,
T3,2023,12,41,TSHE,11.3,N,9.6,342,0,0,NA,NA,NA,
T3,2023,12,26,TSHE,24.1,Y,9.7,239,0,0,NA,NA,NA,
T3,2023,12,17,TSHE,25.7,Y,9.8,198,5,5,NA,NA,NA,
T3,2023,12,40,TSHE,32.1,Y,9.8,347,5,5,NA,NA,NA,
T3,2023,12,25,TSHE,36.4,Y,10.2,226,0,0,NA,NA,NA,
T3,2023,12,46,TSHE,14,Y,15.5,56,0,0,NA,NA,NA,
